Am Am Am Am | F F F F | C C C C | G G G G
Am Am Am E  | F F F F | C C C C | G G Esus E
Am Am Am Am | Dm Dm Dm Dm | G G G G | C C C C
Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
Dm Dm Dm Dm | G G G G | C C C C | Am Am Am Am
Am Am Am Am | Em Em Em Em | F F F F | E E E E
Am Am Am Am | F F F F | E E E E | Am Am Am Am
C C C C    | G G G G   | Am Am Am Am | F F F F
Am Am Am Am | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim
Am Am Am E  | Dm Dm Dm Dm | G G G G | Bdim Bdim Bdim Bdim
Am Am Am Am | F F F F | C C C C | E E E E
Dm Dm Dm Dm | Am Am Am Am | E E E E | Am Am Am Am
Am Am Am Am | Em Em Em Em | Dm Dm Dm Dm | G G G G
F F F F    | G G G G   | Em Em Em Em | Am Am Am Am
Am Am Am Am | E E E E | F F F F | G G G G
Am Am Am Am | F F F F | G G G G | E E E E
C C C C    | Dm Dm Dm Dm | Em Em Em Em | F F F F
F F F F    | Em Em Em Em | Dm Dm Dm Dm | G G G G
Am Am Am Am | F F F F | Dm Dm Dm Dm | E E E E
Dm Dm Dm Dm | G G G G   | E E E E   | Am Am Am Am
Am Am Am Am | Em Em Em Em | F F F F | E E E E
Am Am Am E  | F F F F   | Dm Dm Dm Dm | G G G G
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | E E E E
Am Am Am Am | Em Em Em E  | F F F F   | Am Am Am Am
C C C C    | Em Em Em Em | Am Am Am Am | G G G G
Am Am Am Am | Dm Dm Dm Dm | G G G G   | E E E E
Am Am Am E  | Dm Dm Dm Dm | G G G G   | Bdim Bdim Bdim Bdim
Dm Dm Dm Dm | Am Am Am Am | F F F F   | G G G G
Am Am Am Am | F F F F   | C C C C   | G G G E
Am Am Am E  | F F F F   | C C C C   | G G Esus E
Am Am Am Am | Dm Dm Dm Dm | E E E E   | Am Am Am Am
Am Am Am Am | F F F F   | Em Em Em Em | Am Am Am Am
Dm Dm Dm Dm | G G G G   | Em Em Em Em | Am Am Am Am
C C C C    | G G G G   | Dm Dm Dm Dm | Am Am Am Am
Am Am Am Am | E E E E   | Dm Dm Dm Dm | G G G G
Am Am Am Am | Dm Dm Dm Dm | F F F F   | E E E E
Am Am Am E  | Em Em Em Em | F F F F   | Am Am Am Am
Am Am Am Am | F F F F   | Dm Dm Dm Dm | G G G G
C C C C    | F F F F   | G G G G   | Am Am Am Am
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | G G G G
Am Am Am Am | F F F F   | C C C C   | E E E E
Dm Dm Dm Dm | Am Am Am Am | G G G G   | C C C C
Am Am Am Am | E E E E   | F F F F   | G G G G
Am Am Am Am | F F F F   | G G G G   | E E E E
Am Am Am Am | Em Em Em Em | Dm Dm Dm Dm | G G G G
F F F F    | G G G G   | Em Em Em Em | Am Am Am Am
Am Am Am Am | E E E E | F F F F | G G G G
Am Am Am Am | F F F F | G G G G | E E E E
C C C C    | Dm Dm Dm Dm | Em Em Em Em | F F F F
F F F F    | Em Em Em Em | Dm Dm Dm Dm | G G G G
Am Am Am Am | F F F F | Dm Dm Dm Dm | E E E E
Dm Dm Dm Dm | G G G G   | E E E E   | Am Am Am Am
Am Am Am Am | Em Em Em Em | F F F F | E E E E
Am Am Am E  | F F F F   | Dm Dm Dm Dm | G G G G
Am Am Am Am | Dm Dm Dm Dm | Em Em Em Em | E E E E
Am Am Am Am | Em Em Em E  | F F F F   | Am Am Am Am
C C C C    | Em Em Em Em | Am Am Am Am | G G G G
Am Am Am Am | Dm Dm Dm Dm | G G G G   | E E E E
Am Am Am E  | Dm Dm Dm Dm | G G G G   | Bdim Bdim Bdim Bdim
Dm Dm Dm Dm | Am Am Am Am | F F F F   | G G G G
Am Am Am Am | F F F F   | C C C C   | G G G E
Am Am Am E  | F F F F   | C C C C   | G G Esus E
Am Am Am Am | Dm Dm Dm Dm | E E E E   | Am Am Am Am
