Am Am Am Am | Dm Dm Dm Dm | G7 G7 G7 G7 | C C C C | Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
Dm Dm Dm Dm | E E E E6 | Am Am Am Am | Am Am E E7 | Dm Dm Dm Dm | E E E E6 | Am Am Am Am | Am Am E E7
Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am | Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am | Am Am Am Am | Dm Dm Dm Dm | E E E E | Am Am Am Am
Dm Dm Dm Dm | E E E E | Am Am Am Am | Am Am E E7 | Dm Dm Dm Dm | E E E E6 | Am Am Am Am | Am Am E E7
Dm Dm Dm Dm | E E E E | Am Am Am Am | Am Am E E7 | Dm Dm E E | Am Am Am E7 | Am Dm E E | Am Am Am E7
Dm Dm E E | Am Am Am E7 | Am Dm E E | Am Am Am E7 | Dm Dm E E | Am Am Am E7 | ADm Dm E E | Am Am Am E7
Dm Dm Dm Dm | Am Am Am Am | Dm Dm Dm Dm | Am Am Am A | Dm Dm Dm Dm | Am Am Am Am | Dm Dm Dm Dm | Am Am Am A
Am Am Am Am | Dm Dm Dm6 E | Am Am F F | Dm Dm E E | Am Am Am A | Dm Dm Dm6 E | Am Am F F | Dm Dm E E
F F Dm Dm | Am Am Am E | F F Dm Dm | Am Am Am E7 | F F Dm Dm | Am Am Am E | F F Dm Dm | Am Am Am E7
Am Am Am Am | Dm Dm Dm6 Dm6 | Am Am Am Am | Dm6 Dm6 Esus E | Am Am Am Am | Dm Dm Dm6 Dm6 | Am Am Am Am | Dm6 Dm6 Esus E
Am Am Am Am | F F E E | Am Am Am Am | F F E E | Am Am Am Am | F F E E | Am Am Am Am | F F E E
